MA	2501529265	00618202	Hatfield town	A	41171484	2401554	      15.896	       0.927	 42.389402	 -72.616806
MA	2501531785	00618203	Huntington town	A	68155905	1238944	      26.315	       0.478	 42.281802	 -72.862632
MA	2501540990	00618204	Middlefield town	A	62421301	64160	      24.101	       0.025	 42.367352	 -73.023989
MA	2501546330	00619392	Northampton city	F	88686129	3910266	      34.242	       1.510	 42.327044	 -72.674630
MA	2501552560	00618205	Pelham town	A	65017556	3735674	      25.103	       1.442	 42.371648	 -72.412488
MA	2501554030	00618206	Plainfield town	A	54709405	596478	      21.123	       0.230	 42.512353	 -72.918666
MA	2501562745	00618207	Southampton town	A	72914121	2084351	      28.152	       0.805	 42.226949	 -72.741588
MA	2501564145	00618208	South Hadley town	A	45877556	1773572	      17.713	       0.685	 42.256208	 -72.581030
MA	2501572880	00618209	Ware town	A	89024631	14507472	      34.373	       5.601	 42.275462	 -72.280158
MA	2501576380	00618210	Westhampton town	A	70391693	478376	      27.178	       0.185	 42.314078	 -72.777977
MA	2501579915	00618211	Williamsburg town	A	66138059	356769	      25.536	       0.138	 42.405414	 -72.726043
MA	2501582175	00618212	Worthington town	A	82765225	381099	      31.956	       0.147	 42.397559	 -72.943392
MA	2501700380	00618213	Acton town	A	51453350	1115113	      19.866	       0.431	 42.483953	 -71.438495
MA	2501701605	00619393	Arlington town	A	13321184	880644	       5.143	       0.340	 42.418722	 -71.163912
MA	2501701955	00618214	Ashby town	A	61289599	1000255	      23.664	       0.386	 42.676293	 -71.832523
MA	2501702130	00619394	Ashland town	A	31948334	1395751	      12.335	       0.539	 42.257755	 -71.473526
MA	2501703005	00618215	Ayer town	A	23147520	1466738	       8.937	       0.566	 42.566573	 -71.575135
MA	2501704615	00619395	Bedford town	A	35385661	462663	      13.662	       0.179	 42.499295	 -71.281889
MA	2501705070	00618216	Belmont town	A	12037707	183395	       4.648	       0.071	 42.395317	 -71.180284
MA	2501705805	00618217	Billerica town	A	66236093	1927810	      25.574	       0.744	 42.559673	 -71.260947
MA	2501707350	00618218	Boxborough town	A	26637362	317227	      10.285	       0.122	 42.485985	 -71.520985
MA	2501709840	00618219	Burlington town	A	30403161	323480	      11.739	       0.125	 42.503227	 -71.201713
MA	2501711000	00619396	Cambridge city	F	16556713	1861901	       6.393	       0.719	 42.376043	 -71.118680
MA	2501711525	00619397	Carlisle town	A	39560569	642052	      15.274	       0.248	 42.536620	 -71.361832
MA	2501713135	00618220	Chelmsford town	A	57937420	1849182	      22.370	       0.714	 42.597055	 -71.369700
MA	2501715060	00619398	Concord town	A	63489560	3409854	      24.513	       1.317	 42.462911	 -71.364496
MA	2501717475	00618221	Dracut town	A	53549695	1961809	      20.676	       0.757	 42.679723	 -71.300680
MA	2501717825	00618222	Dunstable town	A	42608632	783541	      16.451	       0.303	 42.676149	 -71.499772
MA	2501721990	00618223	Everett city	F	8864166	636032	       3.422	       0.246	 42.405938	 -71.054649
MA	2501724925	00618224	Framingham town	A	64865527	3789373	      25.045	       1.463	 42.307905	 -71.436196
MA	2501727480	00619399	Groton town	A	84887956	2590936	      32.775	       1.000	 42.611760	 -71.565269
MA	2501730700	00618225	Holliston town	A	48280516	1067774	      18.641	       0.412	 42.195951	 -71.453430
MA	2501731085	00619400	Hopkinton town	A	67924485	4218835	      26.226	       1.629	 42.224096	 -71.540489
MA	2501731540	00618226	Hudson town	A	29844513	888432	      11.523	       0.343	 42.389071	 -71.545864
MA	2501735215	00619401	Lexington town	A	42554217	543341	      16.430	       0.210	 42.445222	 -71.230015
MA	2501735425	00619402	Lincoln town	A	36854434	1957600	      14.230	       0.756	 42.425506	 -71.310812
MA	2501735950	00619403	Littleton town	A	42773948	2579281	      16.515	       0.996	 42.535931	 -71.490569
MA	2501737000	00618227	Lowell city	F	35187375	2442614	      13.586	       0.943	 42.638980	 -71.321141
MA	2501737875	00619404	Malden city	F	13066098	98217	       5.045	       0.038	 42.429380	 -71.058706
MA	2501738715	00618228	Marlborough city	F	54026823	3201505	      20.860	       1.236	 42.349617	 -71.547214
MA	2501739625	00618229	Maynard town	A	13487658	407087	       5.208	       0.157	 42.425955	 -71.456256
MA	2501739835	00619405	Medford city	F	20978754	1458313	       8.100	       0.563	 42.423844	 -71.109231
MA	2501740115	00619406	Melrose city	F	12129263	219967	       4.683	       0.085	 42.455723	 -71.059019
MA	2501743895	00619407	Natick town	A	38734865	2605815	      14.956	       1.006	 42.284822	 -71.348811
MA	2501745560	00619408	Newton city	F	46180690	843989	      17.830	       0.326	 42.331876	 -71.208402
MA	2501748955	00618230	North Reading town	A	34005763	912452	      13.130	       0.352	 42.578222	 -71.084398
MA	2501752805	00618231	Pepperell town	A	58448038	1548500	      22.567	       0.598	 42.670643	 -71.602858
MA	2501756130	00618232	Reading town	A	25843783	47034	       9.978	       0.018	 42.535183	 -71.105423
MA	2501761380	00618233	Sherborn town	A	40896335	957669	      15.790	       0.370	 42.231947	 -71.372963
MA	2501761590	00618234	Shirley town	A	40980387	201617	      15.823	       0.078	 42.573654	 -71.640986
MA	2501762535	00619409	Somerville city	F	10677911	258982	       4.123	       0.100	 42.390445	 -71.101033
MA	2501767665	00618235	Stoneham town	A	15582267	1629178	       6.016	       0.629	 42.474208	 -71.097665
MA	2501768050	00618236	Stow town	A	44856903	1740661	      17.319	       0.672	 42.429688	 -71.512514
MA	2501768260	00618237	Sudbury town	A	62870926	1256070	      24.275	       0.485	 42.383367	 -71.421070
